filename,ipc2014-opt-symba1:default,ipc2018-decstar:opt-config00,ipc2018-decstar:opt-config01,ipc2018-decstar:opt-config02,ipc2018-decstar:opt-config03,ipc2018-decstar:opt-config04,ipc2018-decstar:opt-config05,ipc2018-decstar:opt-config06,ipc2018-opt-complementary2:default,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-dks-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-dks-900masginfsccdfp,ipc2018-opt-delfi:h2-simpless-dks-blind,ipc2018-opt-delfi:h2-simpless-dks-celmcut,ipc2018-opt-delfi:h2-simpless-dks-cpdbshc900,ipc2018-opt-delfi:h2-simpless-dks-zopdbsgenetic,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksbmiasm,ipc2018-opt-delfi:h2-simpless-oss-900masb50ksccdfp,ipc2018-opt-delfi:h2-simpless-oss-blind,ipc2018-opt-delfi:h2-simpless-oss-celmcut,ipc2018-opt-delfi:h2-simpless-oss-cpdbshc900,ipc2018-opt-delfi:h2-simpless-oss-masginfsccdfp,ipc2018-opt-delfi:h2-simpless-oss-zopdbsgenetic,ipc2018-opt-delfi:simpless-dks-masb50kmiasmdfp,ipc2018-opt-delfi:simpless-oss-masb50kmiasmdfp,ipc2018-opt-metis:metis2,ipc2018-opt-planning-pdbs:default,ipc2018-opt-scorpion:default,ipc2018-symple1:symple100000OPT,ipc2018-symple2:symple100000OPT
airport-strips:0-p19.pddl,-,-,-,-,179.316,-,698.744,-,1744.37,-,-,-,-,-,435.884,579.835,-,-,-,-,447.362,-,591.344,-,-,-,-,701.066,-,-
airport-strips:0-p20.pddl,-,-,-,-,-,-,381.245,-,1540.93,-,-,-,-,-,338.346,-,-,-,-,-,341.429,-,-,-,-,-,1417.73,552.951,-,-
airport-strips:0-p21.pddl,-,-,-,-,-,-,415.874,-,1588.61,-,-,-,-,-,215.825,-,-,-,-,-,219.252,-,-,-,-,-,858.084,408.916,-,-
airport-strips:0-p22.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,953.783,-,-
airport-strips:0-p23.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,669.378,-,-
airport-strips:0-p24.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,632.115,-,-
airport-strips:0-p26.pddl,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1069.29,-,-
airport-strips:2-p09-airport2-p4.pddl,3.88419,-,-,1.02757,1.14327,47.8895,1.05026,1.07011,4.32609,21.8917,31.9432,3.40931,1.17628,0.984619,1.48788,1.10892,687.533,34.566,1.05396,1.01543,1.30861,3.43543,1.19893,741.512,-,1.09283,3.74289,224.775,488.349,490.616
airport-strips:2-p15-airport3-p3.pddl,3.27768,-,-,0.970666,0.927077,36.2938,0.886829,0.884717,3.3346,4.12,14.2195,2.12121,0.972635,0.970523,1.01953,0.941816,328.84,18.0863,0.979141,1.00098,1.06915,2.20881,0.998632,441.659,-,0.998527,2.97645,201.984,106.303,101.022
airport-strips:2-p17-airport3-p5.pddl,8.37753,-,-,1.62948,3.06303,96.185,2.48033,2.54477,9.75148,53.1877,66.5387,8.43309,2.82259,1.74956,2.55729,2.93612,915.389,66.4012,2.824,1.77779,2.47361,8.51949,2.92725,928.975,919.626,1.46774,9.45861,264.629,-,-
